venda_id,data_venda,produto_id,quantidade,preco_centavos,custo_centavos,desconto_centavos,status
1,2026-01-05,1,2,2000,1200,0,concluida
2,2026-01-10,2,10,300,100,200,concluida
3,2026-01-15,3,1,8000,5000,500,concluida
4,2026-01-20,4,1,15000,9000,0,cancelada
5,2026-02-02,4,2,15000,9000,1000,concluida
6,2026-02-12,1,3,2000,1200,0,concluida
7,2026-02-18,2,20,300,100,0,concluida
8,2026-02-25,3,2,8000,5000,0,pendente
9,2026-03-03,3,3,8000,5000,1500,concluida
10,2026-03-10,4,1,15000,9000,0,concluida
11,2026-03-18,1,5,2000,1200,500,concluida
12,2026-03-25,2,10,300,100,0,concluida
