venda_id,data_venda,produto,categoria,quantidade,preco_centavos,custo_centavos,desconto_centavos
1,2026-01-05,Caderno,Papelaria,2,2000,1200,0
2,2026-01-10,Caneta,Papelaria,10,300,100,200
3,2026-01-15,Mouse,Informatica,1,8000,5000,500
5,2026-02-02,Teclado,Informatica,2,15000,9000,1000
6,2026-02-12,Caderno,Papelaria,3,2000,1200,0
7,2026-02-18,Caneta,Papelaria,20,300,100,0
9,2026-03-03,Mouse,Informatica,3,8000,5000,1500
10,2026-03-10,Teclado,Informatica,1,15000,9000,0
11,2026-03-18,Caderno,Papelaria,5,2000,1200,500
12,2026-03-25,Caneta,Papelaria,10,300,100,0
